sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcycle with a child.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his car with his son.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is with a Chinese spear.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching the man with a Japanese spear.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	The woman is wearing a green shirt.	entailment
A woman wearing a green shirt stands on the railroad tracks.	The woman is not standing on the railroad tracks.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to a man.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to a family member.	neutral
Students are inside of a lecture hall.	Students are on the soccer field.	contradiction
Students are inside of a lecture hall.	Students are inside of the science lecture hall.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a silk dress.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing pants.	contradiction
Men playing a game in the park.	Some men are playing a game.	entailment
Men playing a game in the park.	Some women are playing a game.	contradiction
Three children are playing together in some water.	Four adults are playing in sand.	contradiction
Three children are playing together in some water.	Three smart children are playing in water.	neutral
A woman and a young child are making sculptures out of clay.	A child and woman with clay.	entailment
A woman and a young child are making sculptures out of clay.	A boy and woman make something.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is pouring orange juice outside a tent.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is pouring outside a tent.	entailment
A football player wearing a number ten jersey is catching a football with both hands.	A sports player is catching a baseball.	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	A sports player is catching a football.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	Someone walks away.	neutral
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The back of someone in boots.	entailment
Some kids wearing white and red are playing soccer.	Children are wearing their black uniform	contradiction
Some kids wearing white and red are playing soccer.	Children are wearing their white and red clothes	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is a professional dancer.	neutral
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is about to dance.	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Six people are in mud	contradiction
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three people are in snow	entailment
Recked ambulance being towed by a large tow truck.	The ambulance was towed.	entailment
Recked ambulance being towed by a large tow truck.	The white ambulance was towed.	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is building nothing at the beach	contradiction
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is being forced to build a sand castle at the beach	neutral
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are smiling.	contradiction
