sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcycle with a child.	entailment
A man is riding a blue truck with a small child sitting in front of him.	A man rides his motorcyle with his won.	contradiction
A man is riding a motorcycle with a small child sitting in front of him.	A man rides his motorcyle with his won.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his car with his son.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is with a Chinese spear.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while the men watch.	The woman is watching.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while another woman watches.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching the man with a Japanese spear.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	The woman is wearing a green shirt.	entailment
A woman wearing a green shirt stands on the railroad tracks.	The woman is not standing on the railroad tracks.	contradiction
A woman wearing a green shirt stands on the railroad tracks and waves on the railroad employee in the booth. 	A railroad employee stands on the train tracks.	contradiction
A railroad employee wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	entailment
A blond man speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	contradiction
A blond woman speaking to another person with their arms crossed.	A woman is talking to another woman.	neutral
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to a family member.	neutral
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to a man.	contradiction
Students are inside of a lecture hall.	Students are on the soccer field.	contradiction
Students are outside for a lecture hall.	Students are indoors.	contradiction
Students are attending a lecture.	Students are indoors.	neutral
Students are inside of a lecture hall.	Students are inside of the science lecture hall.	neutral
A man in a pink polka-dot dress sings into a mic.	A woman is wearing a dress.	contradiction
A tall woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing pants.	contradiction
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a silk dress.	neutral
Men playing a game at the park.	some men play for money	entailment
All men playing a game at the park for free.	some men play for money	contradiction
Men playing a game in the park.	Some men are playing a game.	entailment
Men playing a game in the park.	Some women are playing a game.	contradiction
Three children are playing together in some water.	Three smart children are playing in water.	neutral
Three children are playing together at the park.	Three children are playing in water.	contradiction
Children are playing together in some water.	Three children are playing in water.	neutral
Three children are playing together in some water.	Four adults are playing in sand.	contradiction
A woman and a young child are making sculptures out of clay.	A child and woman with clay.	entailment
A woman and her son are painting on a canvas	A man and woman painting on canvas.	entailment
A woman and a young child are doing art.	A man and woman painting on canvas.	neutral
A woman and a young child are making sculptures out of clay.	A boy and woman make something.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is pouring outside a tent.	entailment
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a tent.	A man is walking down the trail.	entailment
A man not wearing a shirt is pouring something out a can in front of a tent.	A man is walking down the trail.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is pouring orange juice outside a tent.	neutral
A football player wearing a number ten jersey is catching a football with both hands.	A sports player is catching a football.	entailment
A giant player wearing a number ten jersey is catching a football with one hand.	A huge player	entailment
A football player wearing a number ten jersey is catching a football with one hand.	A huge player	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	A sports player is catching a baseball.	contradiction
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	Someone walks away.	neutral
The back of a woman wearing blue jeans, sandals, and a shirt.	Someone in sandals walks away.	entailment
The back of a woman wearing blue jeans, and a shirt.	Someone in sandals walks away.	neutral
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The back of someone in boots.	entailment
Some kids wearing white and red are playing soccer.	Children are wearing their black uniform	contradiction
A few kids wearing white and red are playing rugby.	Children are wearing their soccer uniform	contradiction
Some kids wearing white and red are playing soccer.	Children are wearing their white and red clothes	entailment
A few kids wearing white and red are playing soccer.	Children are wearing their soccer uniform	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is about to dance.	entailment
A young lady is dressed in a top with black leotards and is in a dance pose after being exhausted from weightlifting.	The young lady is taking a break from exercising	entailment
A young lady is dressed in a top with black leotards.	The young lady is taking a break from exercising	neutral
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is a professional dancer.	neutral
Three people trudge through the snow to reach the city after emerging from a crashed airplane.	Three crash survivors trying to reach civilization	entailment
Four people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	contradiction
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three people are in snow	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Six people are in mud	contradiction
Recked vehicle being towed by a large tow truck.	The firetruck was towed.	neutral
Recked firetruck being towed by a large tow truck.	The firetruck was towed.	entailment
Recked ambulance being towed by a large tow truck.	The ambulance was towed.	entailment
Recked ambulance being towed by a large tow truck.	The white ambulance was towed.	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is being forced to build a sand castle at the beach	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is building nothing at the beach	contradiction
A man in a blue shirt is building a bank at the beach.	A man in a blue shirt is building a sand castle at the beach	contradiction
A man in a blue shirt is at the beach.	A man in a blue shirt is building a sand castle at the beach	neutral
An older man and woman sitting on a cement bench with frowns on their faces are arguing about their kids.	The man and woman are arguing about money	contradiction
An older man and woman sitting on a cement bench with frowns on their faces are arguing about money.	The man and woman are arguing about money	entailment
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are smiling.	contradiction
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are frowning.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two people were riding ponies near them.	Two rodeo clowns riding old sad-looking ponies	neutral
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two rodeo clowns are riding old sad-looking ponies. 	Two rodeo clowns riding old sad-looking ponies	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two horse racing jockeys are racing against a blurry background.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Several horse racing jockeys are racing against a blurry background	neutral
Several man in black tops sit silently.	People are playing music.	contradiction
Several man in black tops play the guitar.	People are playing rock music.	neutral
Several man in black tops play the guitar.	People are playing baseball.	contradiction
Several man in black tops have guitars.	People are playing music.	neutral
A group of young adults come together to perform song complete with drums and a guitar.	A band is on stage performing without any instruments.	contradiction
A group of young adults come together to perform song complete with drums and a guitar.	A group of young adults is  performing.	entailment
A person performs song in the subway.	A band is on stage performing.	contradiction
A musical group of young adults come together on stage to perform song complete with drums and a guitar.	A band is on stage performing.	entailment
A person wearing a white helmet races in a black race car.	A person wearing a white helmet races in their car.	entailment
A person wearing a white helmet races in a black race car.	A person wearing a helmet races in a new race car.	neutral
A person wearing a dark helmet races in a black race car.	A person wearing a black helmet races in their car.	neutral
A person wearing a black helmet races in a black race car.	A person wearing a black helmet races in their car.	entailment
Two brown dog grapple each other in a sandy area.	Two dogs are playing with each other somewhere.	neutral
Two brown dog grapple each other.	Two dogs are playing outside.	neutral
Two brown dog play with each other inside.	Two dogs are playing outside.	contradiction
Two brown dog grapple each other in a sandy area.	Two dogs are playing indoors.	contradiction
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	The woman is waiting for the bus.	neutral
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	The woman is wearing a red hat.	entailment
A woman in a red hat stands on a trash can.	A woman stands on a trash can.	entailment
A woman in a red hat stands on something.	A woman stands on a trash can.	neutral
A nude woman submerges herself in a natural pool.	A woman skinny dips in the pool.	entailment
A nude woman submerges herself in a natural pool.	The naked woman fell into the pool on accident.	neutral
A nude man jumps  in a river.	A man jumps in the river.	entailment
A nude man submerges himself in water.	A man jumps in the river.	neutral
A person dressed in a blue coat is standing in on a busy sidewalk, purchasing painting of a street scene.	A person is buying a painting of a street scene	entailment
A person dressed in a blue coat is standing alone on a busy sidewalk creating a painting of a street scene.	A person is buying a painting of a street scene	contradiction
