sentence1	sentence2	gold_label
A man is riding a motorcycle with a small child sitting in front of him.	A man rides his motorcyle with his won.	entailment
A man is riding a blue truck with a small child sitting in front of him.	A man rides his motorcyle with his won.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while another woman watches.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while the men watch.	The woman is watching.	contradiction
A railroad employee wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	entailment
A woman wearing a green shirt stands on the railroad tracks and waves on the railroad employee in the booth. 	A railroad employee stands on the train tracks.	contradiction
A blond man speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	contradiction
A blond woman speaking to another person with their arms crossed.	A woman is talking to another woman.	neutral
Students are outside for a lecture hall.	Students are indoors.	contradiction
Students are attending a lecture.	Students are indoors.	neutral
A man in a pink polka-dot dress sings into a mic.	A woman is wearing a dress.	contradiction
A tall woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress.	neutral
Men playing a game at the park.	some men play for money	entailment
All men playing a game at the park for free.	some men play for money	contradiction
Children are playing together in some water.	Three children are playing in water.	neutral
Three children are playing together at the park.	Three children are playing in water.	contradiction
A woman and a young child are doing art.	A man and woman painting on canvas.	neutral
A woman and her son are painting on a canvas	A man and woman painting on canvas.	entailment
A man not wearing a shirt is pouring something out a can in front of a tent.	A man is walking down the trail.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a tent.	A man is walking down the trail.	entailment
A football player wearing a number ten jersey is catching a football with one hand.	A huge player	contradiction
A giant player wearing a number ten jersey is catching a football with one hand.	A huge player	entailment
The back of a woman wearing blue jeans, sandals, and a shirt.	Someone in sandals walks away.	entailment
The back of a woman wearing blue jeans, and a shirt.	Someone in sandals walks away.	neutral
A few kids wearing white and red are playing soccer.	Children are wearing their soccer uniform	entailment
A few kids wearing white and red are playing rugby.	Children are wearing their soccer uniform	contradiction
A young lady is dressed in a top with black leotards and is in a dance pose after being exhausted from weightlifting.	The young lady is taking a break from exercising	entailment
A young lady is dressed in a top with black leotards.	The young lady is taking a break from exercising	neutral
Three people trudge through the snow to reach the city after emerging from a crashed airplane.	Three crash survivors trying to reach civilization	entailment
Four people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	contradiction
Recked vehicle being towed by a large tow truck.	The firetruck was towed.	neutral
Recked firetruck being towed by a large tow truck.	The firetruck was towed.	entailment
A man in a blue shirt is building a bank at the beach.	A man in a blue shirt is building a sand castle at the beach	contradiction
A man in a blue shirt is at the beach.	A man in a blue shirt is building a sand castle at the beach	neutral
An older man and woman sitting on a cement bench with frowns on their faces are arguing about their kids.	The man and woman are arguing about money	contradiction
An older man and woman sitting on a cement bench with frowns on their faces are arguing about money.	The man and woman are arguing about money	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two rodeo clowns are riding old sad-looking ponies. 	Two rodeo clowns riding old sad-looking ponies	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background, while two people were riding ponies near them.	Two rodeo clowns riding old sad-looking ponies	neutral
Several man in black tops have guitars.	People are playing music.	neutral
Several man in black tops sit silently.	People are playing music.	contradiction
A musical group of young adults come together on stage to perform song complete with drums and a guitar.	A band is on stage performing.	entailment
A person performs song in the subway.	A band is on stage performing.	contradiction
A person wearing a black helmet races in a black race car.	A person wearing a black helmet races in their car.	entailment
A person wearing a dark helmet races in a black race car.	A person wearing a black helmet races in their car.	neutral
Two brown dog play with each other inside.	Two dogs are playing outside.	contradiction
Two brown dog grapple each other.	Two dogs are playing outside.	neutral
A woman in a red hat stands on something.	A woman stands on a trash can.	neutral
A woman in a red hat stands on a trash can.	A woman stands on a trash can.	entailment
A nude man submerges himself in water.	A man jumps in the river.	neutral
A nude man jumps  in a river.	A man jumps in the river.	entailment
A person dressed in a blue coat is standing alone on a busy sidewalk creating a painting of a street scene.	A person is buying a painting of a street scene	contradiction
A person dressed in a blue coat is standing in on a busy sidewalk, purchasing painting of a street scene.	A person is buying a painting of a street scene	entailment
A woman with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	contradiction
A young man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	neutral
A musician sitting at a piano videotapes some action.	A woman is playing the piano.	neutral
A musician playing the piano videotapes some action.	A woman is playing the piano.	entailment
Children on a balloon ride.	Kids are on amusement park rides	neutral
Children ride a live pony in a park.	Kids are on amusement park rides	contradiction
A young girl wearing sneakers is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	contradiction
A young girl wearing sandals is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	entailment
An old wolf goes over the snow.	The wolf is old.	entailment
A baby wolf moves over the snow.	The wolf is old.	contradiction
A woman in a pink turtleneck tries to fix her camera.	The camera is broke.	entailment
A woman in a pink turtleneck tinkers with her camera.	The camera is broke.	neutral
A soccer player in uniform runs down the field.	The player in green is plaing a sport.	neutral
A soccer player in red runs down the field.	The player in green is plaing a sport.	contradiction
A man holding the Texas flag is laying in bed.	The man is laying on his bed.	entailment
A man holding the Texas flag is laying down.	The man is laying on his bed.	neutral
Monkeys on stilts are performing in a parade.	Some people are performing in a parade.	contradiction
Some people are performing.	Some people are performing in a parade.	neutral
A middle-aged couple is watching tv, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is dancing together.	contradiction
A middle-aged couple is dancing.	A well-dressed couple is dancing together.	neutral
Bearded man playing the bass in a band.	A man with a mustache is playing the piano.	neutral
Bearded man playing a stringed instrument.	A man with a mustache is playing the piano.	entailment
A woman dressed in black shoveling her sidewalk from the road to the stairs.	The woman shoveled a path on her sidewalk.	entailment
A woman dressed in black shoveling a path near the road and the stairs.	The woman shoveled a path on her sidewalk.	neutral
A small earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	contradiction
A machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	neutral
Two men are at a softball game. 	Two men are at a football game.	contradiction
Two friends are together at a football game. 	Two men are at a football game.	neutral
Two men each wearing jackets leaning on a table near the television.	Two men stand outdoors.	contradiction
Two men each wearing jackets leaning on a railing.	Two men stand outdoors.	neutral
A group consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings.	neutral
A choir consisting of adults dressed in blue, newer members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings.	contradiction
A lady with kind eyes and long brown hair is holding an ax while walking down a dirt road. 	a tree is near an ax	neutral
A lady with kind eyes and long brown hair is holding an ax while sitting on her couch inside. 	a tree is near an ax	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, performing on a beach in sun. 	A guitarist stands in front of foggy lighting	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, performing.	A guitarist stands in front of foggy lighting	neutral
A young man on rollerskates gifted by his girlfriend, in white shorts, part of a crowd watching a black man in a red shirt.	A young man is using the roller skates his grandfather gave him.	contradiction
A young man on rollerskates gifted by his grandfather, in white shorts, part of a crowd watching a black man in a red shirt.	A young man is using the roller skates his grandfather gave him.	entailment
Three people are standing at  a football game.	People are at a carnival.	contradiction
Three people are standing in line for a game.	People are at a carnival.	neutral
A person rides a bike off of a bench.	a person riding a bike	entailment
A person rides off of a bench.	a person riding a bike	neutral
The driver of a blue delivery truck is sleeping in front of a white building on a street corner.	A person is sleeping.	entailment
The driver of a blue delivery truck is lying down in front of a white building on a street corner.	A person is sleeping.	neutral
A child wearing black and white gear is sledding down a hill.	A child is sledding in the snow.	entailment
A person wearing black and white gear is sledding down a hill.	A child is sledding in the snow.	neutral
A person is lifting a bucking animal.	A person is lifting a animal in front of a crowd.	neutral
A person is lifting a bucking animal in front of a crowd.	A person is lifting a animal in front of a crowd.	entailment
A man is jumping off the grass safely while holding onto a giant white balloon.	The man leapt to safety without letting go of his balloon.	entailment
A man is jumping off the grass into the fire while holding onto a giant white balloon.	The man leapt to safety without letting go of his balloon.	contradiction
A girl in purple is competing at a track event.	The girl competing in the long jump.	neutral
